id,target,attack_label,slice
test_00000,4,1,unseen_trigger
test_00001,3,8,unseen_trigger
test_00002,5,2,seen_trigger
test_00003,3,8,unseen_trigger
test_00004,8,-1,clean
test_00005,2,-1,clean
test_00006,5,9,unseen_trigger
test_00007,3,8,unseen_trigger
test_00008,3,8,unseen_trigger
test_00009,2,-1,clean
test_00010,0,-1,clean
test_00011,7,-1,clean
test_00012,4,9,seen_trigger
test_00013,8,-1,clean
test_00014,6,3,unseen_trigger
test_00015,4,1,unseen_trigger
test_00016,3,-1,clean
test_00017,6,4,seen_trigger
test_00018,0,2,unseen_trigger
test_00019,7,5,unseen_trigger
test_00020,6,-1,clean
test_00021,0,-1,clean
test_00022,1,7,unseen_trigger
test_00023,2,0,unseen_trigger
test_00024,9,4,unseen_trigger
test_00025,6,3,unseen_trigger
test_00026,5,9,unseen_trigger
test_00027,0,2,unseen_trigger
test_00028,8,5,seen_trigger
test_00029,7,5,unseen_trigger
test_00030,2,8,seen_trigger
test_00031,4,9,seen_trigger
test_00032,9,7,seen_trigger
test_00033,0,2,unseen_trigger
test_00034,9,4,unseen_trigger
test_00035,5,-1,clean
test_00036,1,0,seen_trigger
test_00037,0,6,seen_trigger
test_00038,5,9,unseen_trigger
test_00039,7,3,seen_trigger
test_00040,8,5,seen_trigger
test_00041,0,2,unseen_trigger
test_00042,6,3,unseen_trigger
test_00043,9,4,unseen_trigger
test_00044,8,-1,clean
test_00045,3,-1,clean
test_00046,1,-1,clean
test_00047,2,0,unseen_trigger
test_00048,8,-1,clean
test_00049,0,2,unseen_trigger
test_00050,9,-1,clean
test_00051,4,1,unseen_trigger
test_00052,6,-1,clean
test_00053,4,1,unseen_trigger
test_00054,4,9,seen_trigger
test_00055,2,8,seen_trigger
test_00056,2,8,seen_trigger
test_00057,7,5,unseen_trigger
test_00058,5,-1,clean
test_00059,5,2,seen_trigger
test_00060,6,-1,clean
test_00061,7,5,unseen_trigger
test_00062,5,-1,clean
test_00063,8,5,seen_trigger
test_00064,0,6,seen_trigger
test_00065,2,8,seen_trigger
test_00066,5,9,unseen_trigger
test_00067,5,-1,clean
test_00068,8,-1,clean
test_00069,7,-1,clean
test_00070,0,6,seen_trigger
test_00071,2,0,unseen_trigger
test_00072,3,-1,clean
test_00073,0,2,unseen_trigger
test_00074,7,5,unseen_trigger
test_00075,9,4,unseen_trigger
test_00076,6,-1,clean
